Sector,Orbit,Orbit_Start,Orbit_End,Camera,Cam_RA,Cam_Dec,Cam_Roll,ID
30.0,67.0,59115.385416666664,59128.645833333336,4,90.00,-66.57,166.08,67.0_4
30.0,68.0,59129.708333333336,59142.729166666664,1,19.83,-11.10,293.17,68.0_1
30.0,68.0,59129.708333333336,59142.729166666664,2,30.81,-32.88,297.36,68.0_2
30.0,68.0,59129.708333333336,59142.729166666664,3,48.93,-53.06,129.97,68.0_3
30.0,68.0,59129.708333333336,59142.729166666664,4,90.00,-66.57,166.08,68.0_4
31.0,69.0,59144.01388888889,59156.961805555555,1,45.34,-1.64,287.09,69.0_1
31.0,69.0,59144.01388888889,59156.961805555555,2,52.89,-24.50,288.84,69.0_2
31.0,69.0,59144.01388888889,59156.961805555555,3,63.95,-46.82,115.42,69.0_3
31.0,69.0,59144.01388888889,59156.961805555555,4,90.00,-66.56,137.62,69.0_4
31.0,70.0,59158.36111111111,59171.53472222222,1,45.34,-1.64,287.09,70.0_1
31.0,70.0,59158.36111111111,59171.53472222222,2,52.89,-24.50,288.84,70.0_2
31.0,70.0,59158.36111111111,59171.53472222222,3,63.95,-46.82,115.42,70.0_3
31.0,70.0,59158.36111111111,59171.53472222222,4,90.00,-66.56,137.62,70.0_4
32.0,71.0,59172.572916666664,59185.447916666664,1,72.12,4.28,277.38,71.0_1
32.0,71.0,59172.572916666664,59185.447916666664,2,75.29,-19.52,277.81,71.0_2
32.0,71.0,59172.572916666664,59185.447916666664,3,79.64,-43.24,100.12,71.0_3
32.0,71.0,59172.572916666664,59185.447916666664,4,90.00,-66.56,108.78,71.0_4
32.0,72.0,59186.444444444445,59199.739583333336,1,72.12,4.28,277.38,72.0_1
32.0,72.0,59186.444444444445,59199.739583333336,2,75.29,-19.52,277.81,72.0_2
32.0,72.0,59186.444444444445,59199.739583333336,3,79.64,-43.24,100.12,72.0_3
32.0,72.0,59186.444444444445,59199.739583333336,4,90.00,-66.56,108.78,72.0_4
33.0,73.0,59201.23263888889,59213.37152777778,1,99.23,5.13,266.15,73.0_1
33.0,73.0,59201.23263888889,59213.37152777778,2,97.58,-18.82,265.95,73.0_2
33.0,73.0,59201.23263888889,59213.37152777778,3,95.34,-42.74,84.78,73.0_3
33.0,73.0,59201.23263888889,59213.37152777778,4,90.00,-66.56,80.32,73.0_4
33.0,74.0,59214.93402777778,59227.07986111111,1,99.23,5.13,266.15,74.0_1
33.0,74.0,59214.93402777778,59227.07986111111,2,97.58,-18.82,265.95,74.0_2
33.0,74.0,59214.93402777778,59227.07986111111,3,95.34,-42.74,84.78,74.0_3
